country,continent,year,life_exp,hdi_index,co2_consump,gdp,services,Suicide_mortality_rate(per 100000),income_Level,Country_Code,Unemployment_Rate
Bosnia and Herzegovina,Europe,2005,75.3,0.706,4.26,3500.0,48.3,10.8,Upper middle income,BIH,30.41
Bosnia and Herzegovina,Europe,2006,75.6,0.712,4.62,3690.0,48.7,10.7,Upper middle income,BIH,31.11
Bosnia and Herzegovina,Europe,2007,75.3,0.719,4.65,3910.0,47.6,11.5,Upper middle income,BIH,28.98
Bosnia and Herzegovina,Europe,2008,75.9,0.726,5.32,4130.0,47.0,10.8,Upper middle income,BIH,23.41
Bosnia and Herzegovina,Europe,2009,76.1,0.727,5.5,4030.0,47.3,10.7,Upper middle income,BIH,24.07
Bosnia and Herzegovina,Europe,2010,76.3,0.721,5.71,4090.0,49.4,10.5,Upper middle income,BIH,27.31
Bosnia and Herzegovina,Europe,2011,76.4,0.729,6.5,4180.0,51.5,10.6,Upper middle income,BIH,27.58
Bosnia and Herzegovina,Europe,2012,76.7,0.748,6.15,4210.0,49.1,10.4,Upper middle income,BIH,28.01
Bosnia and Herzegovina,Europe,2013,76.6,0.755,6.16,4390.0,51.2,10.6,Upper middle income,BIH,27.49
Bosnia and Herzegovina,Europe,2014,76.7,0.758,5.55,4520.0,52.9,10.6,Upper middle income,BIH,27.52
Bosnia and Herzegovina,Europe,2015,76.5,0.761,5.39,4730.0,51.9,10.7,Upper middle income,BIH,27.69
Bosnia and Herzegovina,Europe,2016,76.7,0.772,6.42,4940.0,50.8,10.5,Upper middle income,BIH,25.41
Bosnia and Herzegovina,Europe,2017,76.8,0.774,6.5,5150.0,51.5,10.5,Upper middle income,BIH,20.53
Bosnia and Herzegovina,Europe,2018,76.9,0.777,6.53,5380.0,52.1,10.8,Upper middle income,BIH,18.4
Botswana,Africa,2000,45.5,0.581,2.3,4650.0,58.9,35.3,Upper middle income,BWA,15.88
Botswana,Africa,2001,45.0,0.582,2.3,4580.0,57.9,34.5,Upper middle income,BWA,18.54
Botswana,Africa,2002,44.9,0.579,2.33,4770.0,57.1,32.7,Upper middle income,BWA,21.13
Botswana,Africa,2003,45.7,0.586,2.21,4910.0,56.2,31.2,Upper middle income,BWA,23.8
Botswana,Africa,2004,47.5,0.592,2.21,4950.0,56.4,31.8,Upper middle income,BWA,21.83
Botswana,Africa,2005,49.9,0.601,2.28,5080.0,56.6,34.0,Upper middle income,BWA,19.81
Botswana,Africa,2006,51.4,0.615,2.25,5390.0,56.9,32.0,Upper middle income,BWA,17.78
Botswana,Africa,2007,53.4,0.628,2.26,5720.0,56.9,29.3,Upper middle income,BWA,17.2
Botswana,Africa,2008,54.7,0.641,2.35,5950.0,56.9,28.4,Upper middle income,BWA,16.64
Botswana,Africa,2009,56.1,0.65,1.98,5380.0,56.8,25.1,Upper middle income,BWA,16.17
Botswana,Africa,2010,57.0,0.663,2.28,5750.0,57.3,24.4,Upper middle income,BWA,17.86
Botswana,Africa,2011,57.8,0.677,2.0,6010.0,57.9,22.7,Upper middle income,BWA,18.42
Botswana,Africa,2012,58.6,0.689,2.49,6200.0,58.4,22.6,Upper middle income,BWA,18.95
Botswana,Africa,2013,59.4,0.701,2.75,6830.0,59.2,21.6,Upper middle income,BWA,19.4
Botswana,Africa,2014,60.1,0.711,3.28,7020.0,59.7,19.6,Upper middle income,BWA,19.99
Botswana,Africa,2015,60.6,0.717,2.56,6800.0,60.1,19.0,Upper middle income,BWA,20.57
Botswana,Africa,2016,61.2,0.72,2.93,6960.0,60.7,17.8,Upper middle income,BWA,21.03
Botswana,Africa,2017,61.5,0.726,3.14,7020.0,61.3,17.4,Upper middle income,BWA,21.57
Botswana,Africa,2018,61.8,0.73,2.96,7170.0,61.9,17.4,Upper middle income,BWA,22.07
Brazil,South America,2000,71.2,0.685,1.86,6790.0,61.7,4.0,Upper middle income,BRA,9.56
Brazil,South America,2001,71.5,0.691,1.88,6790.0,62.0,4.4,Upper middle income,BRA,9.61
Brazil,South America,2002,71.8,0.699,1.83,6900.0,61.5,4.4,Upper middle income,BRA,9.37
Brazil,South America,2003,72.0,0.695,1.75,6900.0,61.8,4.3,Upper middle income,BRA,9.99
Brazil,South America,2004,72.3,0.698,1.81,7210.0,61.2,4.4,Upper middle income,BRA,9.11
Brazil,South America,2005,72.8,0.7,1.84,7350.0,61.4,4.7,Upper middle income,BRA,9.57
Brazil,South America,2006,73.1,0.702,1.82,7560.0,62.5,4.7,Upper middle income,BRA,8.64
Brazil,South America,2007,73.3,0.706,1.88,7940.0,62.8,4.9,Upper middle income,BRA,8.33
Brazil,South America,2008,73.5,0.717,1.98,8260.0,62.9,5.1,Upper middle income,BRA,7.34
Brazil,South America,2009,73.7,0.719,1.86,8170.0,63.9,5.1,Upper middle income,BRA,8.52
Brazil,South America,2010,73.8,0.727,2.1,8700.0,64.8,5.0,Upper middle income,BRA,7.27
Brazil,South America,2011,74.0,0.731,2.18,8970.0,65.7,5.2,Upper middle income,BRA,6.92
Brazil,South America,2012,74.3,0.735,2.31,9060.0,65.5,5.4,Upper middle income,BRA,7.19
Brazil,South America,2013,74.5,0.753,2.46,9250.0,65.9,5.6,Upper middle income,BRA,6.98
Brazil,South America,2014,74.8,0.756,2.59,9210.0,66.8,5.6,Upper middle income,BRA,6.66
Brazil,South America,2015,75.0,0.756,2.42,8810.0,67.6,5.9,Upper middle income,BRA,8.43
Brazil,South America,2016,75.0,0.758,2.2,8460.0,69.0,6.0,Upper middle income,BRA,11.6
Brazil,South America,2017,75.4,0.761,2.23,8500.0,70.1,6.6,Upper middle income,BRA,12.82
Brazil,South America,2018,75.7,0.762,2.18,8580.0,70.6,7.0,Upper middle income,BRA,12.33
Bulgaria,Europe,2000,70.2,0.72,5.66,3670.0,54.0,18.2,Upper middle income,BGR,16.22
Bulgaria,Europe,2001,70.4,0.73,6.17,3890.0,57.5,17.5,Upper middle income,BGR,19.92
Bulgaria,Europe,2002,70.7,0.736,5.87,4210.0,56.6,17.5,Upper middle income,BGR,18.11
Bulgaria,Europe,2003,70.9,0.745,6.47,4460.0,56.7,15.1,Upper middle income,BGR,13.73
Bulgaria,Europe,2004,71.0,0.752,6.4,4780.0,56.3,14.2,Upper middle income,BGR,12.04
Bulgaria,Europe,2005,71.1,0.758,6.59,5160.0,56.8,13.3,Upper middle income,BGR,10.08
Bulgaria,Europe,2006,71.2,0.765,6.8,5560.0,57.4,13.4,Upper middle income,BGR,8.95
Bulgaria,Europe,2007,71.5,0.773,7.35,5960.0,57.0,12.5,Upper middle income,BGR,6.88
Bulgaria,Europe,2008,71.9,0.78,7.18,6370.0,56.1,13.2,Upper middle income,BGR,5.61
Bulgaria,Europe,2009,72.1,0.782,6.12,6200.0,57.7,12.3,Upper middle income,BGR,6.82
Bulgaria,Europe,2010,72.3,0.788,6.44,6270.0,60.2,12.4,Upper middle income,BGR,10.28
Bulgaria,Europe,2011,72.7,0.791,7.2,6460.0,61.8,11.0,Upper middle income,BGR,11.26
Bulgaria,Europe,2012,73.0,0.795,6.59,6520.0,62.2,12.5,Upper middle income,BGR,12.27
Bulgaria,Europe,2013,73.3,0.801,5.84,6580.0,63.2,10.5,Upper middle income,BGR,12.94
Bulgaria,Europe,2014,73.0,0.806,6.23,6740.0,62.9,10.4,Upper middle income,BGR,11.42
Bulgaria,Europe,2015,73.2,0.809,6.69,7060.0,63.2,9.8,Upper middle income,BGR,9.14
Bulgaria,Europe,2016,73.3,0.811,6.33,7380.0,63.5,9.7,Upper middle income,BGR,7.57
Bulgaria,Europe,2017,73.3,0.811,6.68,7690.0,63.1,10.3,Upper middle income,BGR,6.16
Bulgaria,Europe,2018,73.3,0.813,6.32,7990.0,63.3,9.7,Upper middle income,BGR,5.21
Cambodia,Asia,2000,60.4,0.424,0.163,486.0,18.0,5.0,Lower middle income,KHM,0.97
Cambodia,Asia,2001,60.9,0.438,0.181,515.0,20.1,5.1,Lower middle income,KHM,1.03
Cambodia,Asia,2002,61.5,0.457,0.175,539.0,21.3,5.1,Lower middle income,KHM,1.1
Cambodia,Asia,2003,62.2,0.47,0.185,575.0,22.1,5.1,Lower middle income,KHM,1.11
Cambodia,Asia,2004,62.9,0.482,0.187,624.0,23.6,5.3,Lower middle income,KHM,1.13
Cambodia,Asia,2005,63.7,0.494,0.209,695.0,24.7,5.5,Lower middle income,KHM,1.13
Cambodia,Asia,2006,64.5,0.506,0.223,759.0,25.9,5.7,Lower middle income,KHM,1.21
Cambodia,Asia,2007,65.2,0.52,0.253,824.0,27.2,5.7,Lower middle income,KHM,1.26
Cambodia,Asia,2008,65.9,0.525,0.274,866.0,26.8,5.6,Lower middle income,KHM,0.82
Cambodia,Asia,2009,66.5,0.528,0.324,854.0,26.3,5.4,Lower middle income,KHM,0.58
Cambodia,Asia,2010,66.9,0.539,0.352,891.0,26.6,5.4,Lower middle income,KHM,0.77
Cambodia,Asia,2011,67.4,0.546,0.351,939.0,27.0,5.3,Lower middle income,KHM,0.58
Cambodia,Asia,2012,67.9,0.552,0.361,991.0,29.0,5.2,Lower middle income,KHM,0.51
Cambodia,Asia,2013,68.2,0.559,0.365,1050.0,31.2,5.2,Lower middle income,KHM,0.44
Cambodia,Asia,2014,68.6,0.565,0.427,1100.0,30.2,5.1,Lower middle income,KHM,0.69
Cambodia,Asia,2015,68.9,0.57,0.545,1160.0,32.6,5.1,Lower middle income,KHM,0.39
Cambodia,Asia,2016,69.2,0.576,0.617,1220.0,36.7,5.1,Lower middle income,KHM,0.72
Cambodia,Asia,2017,69.4,0.582,0.626,1290.0,36.3,5.0,Lower middle income,KHM,0.14
Cambodia,Asia,2018,69.7,0.585,0.64,1360.0,36.6,4.9,Lower middle income,KHM,0.14
Cameroon,Africa,2000,54.5,0.44,0.216,1060.0,23.9,10.7,Lower middle income,CMR,7.59
Cameroon,Africa,2001,54.3,0.456,0.209,1070.0,24.3,10.8,Lower middle income,CMR,7.46
Cameroon,Africa,2002,54.2,0.458,0.203,1090.0,25.0,10.6,Lower middle income,CMR,6.7
Cameroon,Africa,2003,54.3,0.464,0.22,1110.0,25.7,10.8,Lower middle income,CMR,5.93
Cameroon,Africa,2004,54.6,0.469,0.223,1150.0,26.6,10.7,Lower middle income,CMR,5.14
Cameroon,Africa,2005,55.0,0.47,0.203,1140.0,27.3,11.4,Lower middle income,CMR,4.4
Cameroon,Africa,2006,55.4,0.471,0.206,1150.0,28.1,11.7,Lower middle income,CMR,3.73
Cameroon,Africa,2007,55.9,0.482,0.305,1180.0,29.0,11.4,Lower middle income,CMR,3.06
Cameroon,Africa,2008,56.6,0.49,0.282,1180.0,30.2,11.2,Lower middle income,CMR,3.41
Cameroon,Africa,2009,57.2,0.498,0.334,1180.0,31.4,11.1,Lower middle income,CMR,3.77
Cameroon,Africa,2010,57.7,0.505,0.328,1180.0,32.7,10.8,Lower middle income,CMR,4.11
Cameroon,Africa,2011,58.2,0.514,0.295,1200.0,34.1,10.8,Lower middle income,CMR,3.96
Cameroon,Africa,2012,58.8,0.525,0.274,1220.0,35.4,10.6,Lower middle income,CMR,3.82
Cameroon,Africa,2013,59.1,0.534,0.22,1250.0,36.9,10.4,Lower middle income,CMR,3.67
Cameroon,Africa,2014,59.5,0.54,0.293,1290.0,38.3,10.0,Lower middle income,CMR,3.53
Cameroon,Africa,2015,60.0,0.549,0.333,1330.0,39.2,9.5,Lower middle income,CMR,3.55
Cameroon,Africa,2016,60.9,0.553,0.334,1350.0,40.0,9.2,Lower middle income,CMR,3.58
Cameroon,Africa,2017,61.9,0.557,0.326,1360.0,40.7,9.0,Lower middle income,CMR,3.6
Cameroon,Africa,2018,62.6,0.56,0.323,1380.0,41.4,8.9,Lower middle income,CMR,3.62
Canada,North America,2000,79.4,0.867,18.7,34100.0,74.2,11.9,High income,CAN,6.83
Canada,North America,2001,79.6,0.871,18.3,34200.0,74.8,12.2,High income,CAN,7.22
Canada,North America,2002,79.8,0.877,18.3,35000.0,74.7,11.9,High income,CAN,7.66
Canada,North America,2003,80.0,0.882,18.7,36000.0,74.9,12.4,High income,CAN,7.57
Canada,North America,2004,80.2,0.888,18.4,37100.0,74.9,11.7,High income,CAN,7.19
Canada,North America,2005,80.4,0.894,17.9,38600.0,75.2,12.2,High income,CAN,6.76
Canada,North America,2006,80.7,0.898,17.6,39800.0,75.8,11.2,High income,CAN,6.32
Canada,North America,2007,80.9,0.896,18.1,42100.0,76.3,11.5,High income,CAN,6.04
Canada,North America,2008,81.1,0.898,17.3,42100.0,76.6,11.5,High income,CAN,6.14
Canada,North America,2009,81.4,0.898,16.1,40400.0,77.8,12.0,High income,CAN,8.34
Canada,North America,2010,81.6,0.901,16.3,41200.0,78.0,12.1,High income,CAN,8.06
Canada,North America,2011,81.9,0.903,16.4,42000.0,77.9,11.3,High income,CAN,7.51
Canada,North America,2012,82.0,0.906,16.3,42300.0,77.8,11.8,High income,CAN,7.29
Canada,North America,2013,82.1,0.913,16.4,42800.0,77.9,12.1,High income,CAN,7.07
Canada,North America,2014,82.2,0.918,16.2,43600.0,78.1,12.7,High income,CAN,6.91
Canada,North America,2015,82.3,0.921,16.0,43600.0,78.4,13.0,High income,CAN,6.91
Canada,North America,2016,82.3,0.923,15.5,43500.0,78.7,11.9,High income,CAN,7.0
Canada,North America,2017,82.4,0.926,15.6,44300.0,78.9,13.0,High income,CAN,6.34
Canada,North America,2018,82.2,0.928,15.3,44800.0,78.9,12.0,High income,CAN,5.83
Chile,South America,2000,76.9,0.756,3.79,8690.0,62.2,10.3,High income,CHL,10.49
Chile,South America,2001,77.0,0.767,3.39,8870.0,62.5,10.3,High income,CHL,10.39
Chile,South America,2002,77.4,0.769,3.48,9050.0,62.6,9.6,High income,CHL,10.17
Chile,South America,2003,77.4,0.776,3.47,9320.0,63.0,9.7,High income,CHL,9.77
Chile,South America,2004,77.6,0.785,3.69,9890.0,63.0,10.1,High income,CHL,10.16
Chile,South America,2005,77.9,0.791,3.77,10300.0,63.9,9.7,High income,CHL,9.34
Chile,South America,2006,78.2,0.791,3.91,10900.0,63.9,10.0,High income,CHL,9.02
Chile,South America,2007,78.4,0.804,4.28,11300.0,64.3,11.0,High income,CHL,8.43
Chile,South America,2008,78.7,0.814,4.24,11600.0,64.7,12.2,High income,CHL,9.29
Chile,South America,2009,78.6,0.822,3.91,11300.0,65.7,12.7,High income,CHL,11.31
Chile,South America,2010,78.6,0.803,4.18,11800.0,66.4,11.6,High income,CHL,8.42
Chile,South America,2011,79.0,0.815,4.53,12400.0,66.4,11.7,High income,CHL,7.34
Chile,South America,2012,79.2,0.821,4.58,12900.0,66.2,10.5,High income,CHL,6.66
Chile,South America,2013,79.3,0.826,4.65,13300.0,66.6,9.8,High income,CHL,6.21
Chile,South America,2014,79.5,0.837,4.36,13400.0,67.1,9.9,High income,CHL,6.66
Chile,South America,2015,79.6,0.842,4.55,13600.0,67.3,10.0,High income,CHL,6.51
Chile,South America,2016,80.0,0.845,4.62,13600.0,67.5,10.0,High income,CHL,6.74
Chile,South America,2017,80.0,0.847,4.52,13600.0,68.0,9.3,High income,CHL,6.96
Chile,South America,2018,80.1,0.849,4.59,13900.0,68.5,8.8,High income,CHL,7.23
China,Asia,2000,71.3,0.588,2.6,2190.0,27.5,14.3,Upper middle income,CHN,3.26
China,Asia,2001,71.7,0.596,2.64,2360.0,27.7,12.9,Upper middle income,CHN,3.8
China,Asia,2002,72.0,0.606,2.9,2560.0,28.6,12.2,Upper middle income,CHN,4.24
China,Asia,2003,72.3,0.618,3.39,2800.0,29.3,12.8,Upper middle income,CHN,4.58
China,Asia,2004,72.5,0.628,3.88,3060.0,30.6,13.3,Upper middle income,CHN,4.49
China,Asia,2005,73.0,0.64,4.34,3390.0,31.4,12.9,Upper middle income,CHN,4.52
China,Asia,2006,73.7,0.653,4.77,3800.0,32.2,12.1,Upper middle income,CHN,4.43
China,Asia,2007,74.2,0.667,5.1,4320.0,32.4,11.5,Upper middle income,CHN,4.35
China,Asia,2008,74.3,0.678,5.45,4710.0,33.2,11.1,Upper middle income,CHN,4.59
China,Asia,2009,74.7,0.687,5.7,5130.0,34.1,10.7,Upper middle income,CHN,4.72
China,Asia,2010,74.9,0.699,6.22,5650.0,34.6,10.2,Upper middle income,CHN,4.53
China,Asia,2011,75.3,0.707,6.83,6160.0,35.7,9.6,Upper middle income,CHN,4.55
China,Asia,2012,75.7,0.716,6.97,6610.0,36.1,9.0,Upper middle income,CHN,4.57
China,Asia,2013,76.1,0.724,7.04,7090.0,38.5,8.6,Upper middle income,CHN,4.59
China,Asia,2014,76.4,0.731,7.02,7570.0,40.6,8.4,Upper middle income,CHN,4.61
China,Asia,2015,76.8,0.739,6.91,8070.0,42.2,8.1,Upper middle income,CHN,4.63
China,Asia,2016,77.0,0.746,6.87,8570.0,43.5,8.2,Upper middle income,CHN,4.53
China,Asia,2017,77.2,0.75,6.93,9120.0,44.9,8.1,Upper middle income,CHN,4.44
China,Asia,2018,77.4,0.755,7.06,9690.0,45.6,8.1,Upper middle income,CHN,4.28
Colombia,South America,2000,74.2,0.666,1.42,3960.0,59.0,5.0,Upper middle income,COL,20.52
Colombia,South America,2001,74.4,0.668,1.39,3970.0,59.4,4.9,Upper middle income,COL,15.04
Colombia,South America,2002,73.4,0.671,1.36,4000.0,59.6,4.7,Upper middle income,COL,14.48
Colombia,South America,2003,75.2,0.67,1.38,4100.0,59.9,4.6,Upper middle income,COL,13.22
Colombia,South America,2004,75.6,0.684,1.3,4260.0,60.2,4.5,Upper middle income,COL,12.74
Colombia,South America,2005,76.5,0.689,1.41,4400.0,60.4,4.1,Upper middle income,COL,11.06
Colombia,South America,2006,76.7,0.698,1.44,4640.0,60.8,4.1,Upper middle income,COL,11.29
Colombia,South America,2007,77.3,0.711,1.41,4890.0,61.1,4.1,Upper middle income,COL,10.25
Colombia,South America,2008,77.6,0.718,1.52,4990.0,61.3,4.2,Upper middle income,COL,10.49
Colombia,South America,2009,77.5,0.72,1.62,4990.0,61.6,4.1,Upper middle income,COL,11.29
Colombia,South America,2010,77.9,0.729,1.69,5160.0,61.6,3.8,Upper middle income,COL,10.98
Colombia,South America,2011,78.7,0.734,1.67,5470.0,61.5,3.7,Upper middle income,COL,10.11
Colombia,South America,2012,79.0,0.739,1.73,5630.0,61.9,3.8,Upper middle income,COL,9.74
Colombia,South America,2013,79.3,0.742,1.98,5870.0,63.8,3.7,Upper middle income,COL,9.05
Colombia,South America,2014,79.7,0.753,1.83,6070.0,64.0,3.8,Upper middle income,COL,8.57
Colombia,South America,2015,79.7,0.756,1.96,6180.0,64.2,4.1,Upper middle income,COL,8.3
Colombia,South America,2016,79.8,0.76,2.01,6220.0,64.6,4.2,Upper middle income,COL,8.69
Colombia,South America,2017,80.0,0.763,1.91,6210.0,64.0,4.7,Upper middle income,COL,8.87
Colombia,South America,2018,80.1,0.764,1.96,6270.0,63.3,4.0,Upper middle income,COL,9.11
Costa Rica,North America,2000,77.9,0.721,1.36,7680.0,61.3,6.4,Upper middle income,CRI,5.08
Costa Rica,North America,2001,77.9,0.725,1.41,7810.0,60.9,5.2,Upper middle income,CRI,5.92
Costa Rica,North America,2002,78.4,0.728,1.52,7940.0,61.5,7.0,Upper middle income,CRI,6.33
Costa Rica,North America,2003,78.5,0.731,1.57,8160.0,62.5,7.9,Upper middle income,CRI,6.56
Costa Rica,North America,2004,78.6,0.735,1.61,8400.0,63.0,8.1,Upper middle income,CRI,6.39
Costa Rica,North America,2005,79.4,0.738,1.56,8610.0,63.1,6.6,Upper middle income,CRI,6.57
Costa Rica,North America,2006,79.1,0.745,1.6,9110.0,64.2,8.4,Upper middle income,CRI,5.74
Costa Rica,North America,2007,80.3,0.753,1.79,9730.0,64.5,5.7,Upper middle income,CRI,4.49
Costa Rica,North America,2008,80.3,0.761,1.77,10100.0,65.9,5.5,Upper middle income,CRI,4.78
Costa Rica,North America,2009,80.6,0.762,1.7,9840.0,68.1,5.6,Upper middle income,CRI,7.71
Costa Rica,North America,2010,79.5,0.765,1.62,10200.0,69.0,6.9,Upper middle income,CRI,7.17
Costa Rica,North America,2011,80.2,0.778,1.56,10600.0,69.8,6.9,Upper middle income,CRI,10.14
Costa Rica,North America,2012,80.3,0.783,1.53,10900.0,71.5,6.6,Upper middle income,CRI,9.78
Costa Rica,North America,2013,80.4,0.788,1.59,11100.0,73.6,6.7,Upper middle income,CRI,8.77
Costa Rica,North America,2014,80.5,0.796,1.6,11400.0,71.2,5.6,Upper middle income,CRI,9.06
Costa Rica,North America,2015,80.2,0.797,1.51,11600.0,68.5,6.7,Upper middle income,CRI,9.0
Costa Rica,North America,2016,79.8,0.801,1.6,12000.0,69.2,7.7,Upper middle income,CRI,8.6
Costa Rica,North America,2017,79.8,0.804,1.58,12400.0,69.0,6.1,Upper middle income,CRI,8.14
Costa Rica,North America,2018,80.0,0.808,1.61,12500.0,67.9,7.2,Upper middle income,CRI,9.63
Croatia,Europe,2000,74.7,0.757,4.45,8720.0,54.3,20.8,High income,HRV,16.06
Croatia,Europe,2001,74.9,0.768,4.73,9330.0,54.3,19.7,High income,HRV,15.82
Croatia,Europe,2002,75.0,0.774,4.99,9860.0,54.6,19.5,High income,HRV,15.05
Croatia,Europe,2003,75.1,0.78,5.31,10400.0,52.9,19.7,High income,HRV,13.92
Croatia,Europe,2004,75.6,0.786,5.23,10800.0,53.4,20.2,High income,HRV,13.66
Croatia,Europe,2005,75.6,0.792,5.35,11300.0,54.1,20.1,High income,HRV,12.6
Croatia,Europe,2006,76.0,0.798,5.4,11900.0,56.4,18.3,High income,HRV,11.13
Croatia,Europe,2007,75.9,0.808,5.72,12500.0,57.0,18.1,High income,HRV,9.91
Croatia,Europe,2008,75.9,0.813,5.44,12700.0,56.3,18.4,High income,HRV,8.53
Croatia,Europe,2009,76.5,0.812,5.04,11800.0,57.7,18.3,High income,HRV,9.2
Croatia,Europe,2010,76.8,0.815,4.87,11600.0,58.3,18.3,High income,HRV,11.62
Croatia,Europe,2011,77.1,0.823,4.8,11700.0,57.5,16.4,High income,HRV,13.68
Croatia,Europe,2012,77.4,0.825,4.45,11400.0,59.8,18.4,High income,HRV,15.93
Croatia,Europe,2013,77.8,0.83,4.32,11400.0,61.6,16.5,High income,HRV,17.25
Croatia,Europe,2014,77.9,0.835,4.16,11400.0,63.5,17.3,High income,HRV,17.29
Croatia,Europe,2015,77.7,0.84,4.22,11800.0,64.1,17.6,High income,HRV,16.18
Croatia,Europe,2016,78.4,0.841,4.3,12300.0,65.4,16.4,High income,HRV,13.1
Croatia,Europe,2017,78.5,0.845,4.48,12900.0,66.6,15.7,High income,HRV,11.21
Croatia,Europe,2018,78.6,0.848,4.48,13300.0,66.3,16.4,High income,HRV,8.43
Cuba,North America,2000,77.0,0.691,2.33,4110.0,53.6,17.2,Upper middle income,CUB,5.45
Cuba,North America,2001,77.2,0.696,2.27,4220.0,55.1,15.3,Upper middle income,CUB,4.08
Cuba,North America,2002,77.9,0.698,2.32,4270.0,56.7,14.7,Upper middle income,CUB,3.31
Cuba,North America,2003,77.8,0.708,2.26,4420.0,58.1,13.8,Upper middle income,CUB,2.33
Cuba,North America,2004,77.8,0.722,2.21,4670.0,59.5,13.9,Upper middle income,CUB,1.85
Cuba,North America,2005,77.7,0.734,2.3,5180.0,60.8,12.9,Upper middle income,CUB,1.95
Cuba,North America,2006,78.4,0.756,2.34,5810.0,62.0,12.7,Upper middle income,CUB,1.91
Cuba,North America,2007,78.5,0.772,2.29,6240.0,63.2,12.2,Upper middle income,CUB,1.79
Cuba,North America,2008,78.4,0.783,2.47,6500.0,63.4,12.9,Upper middle income,CUB,1.58
Cuba,North America,2009,78.5,0.785,2.5,6600.0,63.7,13.7,Upper middle income,CUB,1.67
Cuba,North America,2010,78.5,0.781,3.02,6760.0,64.3,14.4,Upper middle income,CUB,2.5
Cuba,North America,2011,79.1,0.78,2.6,6940.0,63.2,14.1,Upper middle income,CUB,3.18
Cuba,North America,2012,78.8,0.769,2.62,7140.0,61.6,13.8,Upper middle income,CUB,3.46
Cuba,North America,2013,78.8,0.766,2.46,7320.0,64.3,13.9,Upper middle income,CUB,3.29
Cuba,North America,2014,78.7,0.767,2.43,7380.0,64.3,13.4,Upper middle income,CUB,2.7
Cuba,North America,2015,78.4,0.772,2.57,7690.0,64.3,14.0,Upper middle income,CUB,2.4
Cuba,North America,2016,78.5,0.773,2.48,7730.0,64.7,13.4,Upper middle income,CUB,2.0
Cuba,North America,2017,78.3,0.777,2.48,7860.0,65.1,14.5,Upper middle income,CUB,1.7
Cuba,North America,2018,78.3,0.781,2.53,8040.0,65.3,14.3,Upper middle income,CUB,1.7
Cyprus,Asia,2000,76.7,0.804,7.56,26700.0,70.8,2.0,High income,CYP,4.97
Cyprus,Asia,2001,77.1,0.81,7.3,27400.0,71.5,2.1,High income,CYP,3.98
Cyprus,Asia,2002,77.3,0.819,7.37,28100.0,71.6,2.2,High income,CYP,3.3
Cyprus,Asia,2003,77.7,0.828,7.64,28500.0,71.9,2.2,High income,CYP,4.14
Cyprus,Asia,2004,77.9,0.831,7.74,29600.0,71.5,0.9,High income,CYP,4.33
Cyprus,Asia,2005,77.9,0.836,7.79,30600.0,71.2,2.6,High income,CYP,5.3
Cyprus,Asia,2006,78.2,0.842,7.84,31500.0,73.1,3.5,High income,CYP,4.54
Cyprus,Asia,2007,78.3,0.849,8.01,32400.0,73.1,3.1,High income,CYP,3.92
Cyprus,Asia,2008,78.8,0.858,8.03,32700.0,72.7,6.1,High income,CYP,3.65
Cyprus,Asia,2009,79.1,0.862,7.68,31200.0,74.2,4.5,High income,CYP,5.36
Cyprus,Asia,2010,79.5,0.856,7.25,31000.0,75.8,5.3,High income,CYP,6.26
Cyprus,Asia,2011,79.8,0.86,6.89,30400.0,75.3,4.3,High income,CYP,7.86
Cyprus,Asia,2012,80.1,0.859,6.36,28900.0,76.9,5.4,High income,CYP,11.8
Cyprus,Asia,2013,80.3,0.86,5.72,27000.0,79.3,5.7,High income,CYP,15.87
Cyprus,Asia,2014,80.4,0.862,6.01,26800.0,79.1,5.4,High income,CYP,16.09
Cyprus,Asia,2015,80.5,0.865,5.99,27900.0,79.8,4.7,High income,CYP,14.91
Cyprus,Asia,2016,80.7,0.873,6.29,29500.0,79.3,4.6,High income,CYP,12.95
Cyprus,Asia,2017,80.8,0.878,6.39,30800.0,80.4,3.7,High income,CYP,11.05
Cyprus,Asia,2018,80.8,0.885,6.3,32000.0,81.2,4.2,High income,CYP,8.37
Denmark,Europe,2000,77.2,0.87,10.2,49200.0,71.0,15.6,High income,DNK,4.48
Denmark,Europe,2001,77.3,0.883,10.4,49500.0,71.1,15.8,High income,DNK,4.16
Denmark,Europe,2002,77.4,0.89,10.3,49500.0,73.3,14.9,High income,DNK,4.27
Denmark,Europe,2003,77.7,0.901,11.3,49600.0,73.6,13.6,High income,DNK,5.4
Denmark,Europe,2004,78.0,0.905,10.2,50800.0,73.0,14.2,High income,DNK,5.2
Denmark,Europe,2005,78.3,0.91,9.51,51800.0,72.9,14.8,High income,DNK,4.83
Denmark,Europe,2006,78.5,0.912,10.9,53700.0,73.6,14.7,High income,DNK,3.9
Denmark,Europe,2007,78.7,0.911,10.0,53900.0,73.5,12.6,High income,DNK,3.8
Denmark,Europe,2008,79.0,0.917,9.33,53300.0,74.0,13.1,High income,DNK,3.68
Denmark,Europe,2009,79.2,0.914,8.84,50500.0,76.7,12.9,High income,DNK,6.41
Denmark,Europe,2010,79.5,0.917,8.86,51200.0,77.6,11.8,High income,DNK,7.75
Denmark,Europe,2011,79.9,0.93,7.93,51600.0,77.5,12.6,High income,DNK,7.77
Denmark,Europe,2012,80.3,0.931,7.11,51600.0,77.6,12.8,High income,DNK,7.8
